t;roll;pitch;yaw
0.22739267349243164;0.204775;-1.856183;83.702591
0.48470163345336914;0.492032;-1.853268;74.58123
0.6871592998504639;0.262687;-2.179387;83.101501
0.8896281719207764;0.010043;-1.949096;85.985519
1.0970792770385742;0.157025;-2.076092;84.364723
1.3005542755126953;0.164143;-1.894526;84.27858
1.509969711303711;0.113748;-2.001495;84.977196
1.7253897190093994;0.136709;-2.009975;85.021721
1.9198708534240723;0.26069;-2.04083;82.293236
2.126312494277954;0.2569;-2.043693;82.751587
2.323796033859253;0.208618;-2.045635;84.265793
2.530231237411499;0.224488;-2.04922;83.922325
2.7314674854278564;0.211623;-2.042118;84.253075
2.941824197769165;0.200504;-2.030339;84.383301
3.1472625732421875;0.262286;-2.000431;82.591988
3.3479974269866943;0.267101;-2.0055;82.391403
3.553178548812866;0.274913;-1.981576;82.060829
3.792557716369629;0.277831;-1.969862;81.902596
3.963099718093872;0.208868;-2.004218;83.579956
4.1735899448394775;0.232361;-2.017405;83.028214
4.3701159954071045;0.266758;-2.009113;82.252258
4.576559066772461;0.515855;-2.003727;75.982391
4.783998727798462;0.280329;-2.022025;77.979019
4.9904465675354;0.612537;-1.93112;66.314568
5.1958982944488525;0.779936;-1.709605;53.852245
5.496102571487427;0.355469;-1.881746;54.872078
5.601817607879639;-0.09054;-1.927447;57.576439
5.806298017501831;-2.031659;-2.584595;52.506187
6.011174917221069;-3.220381;-3.155586;52.025822
6.21837043762207;-4.951825;-2.828125;39.508663
6.423839092254639;-6.128328;-2.628217;31.549528
6.625295162200928;-6.866014;-2.652343;27.548183
6.828951120376587;-8.1923;-2.970804;24.621872
7.045163631439209;-9.516474;-2.919111;19.992376
7.239657402038574;-11.214519;-3.037301;16.136862
7.449322938919067;-13.531152;-3.228008;12.278118
7.65054988861084;-14.365517;-3.277123;8.554592
7.855217933654785;-13.390087;-3.373578;7.779336
8.061451196670532;-8.731312;-2.879205;12.805737
8.264058351516724;-0.756709;-1.76808;5.233823
8.473341703414917;8.049612;-1.343784;2.316565
8.672810554504395;12.238768;-0.826564;-0.526774
8.876273393630981;12.938904;-1.344032;1.077125
9.080101490020752;11.478256;-1.912402;4.679824
9.288118839263916;6.830605;-1.744601;10.353254
9.494556427001953;0.17896;-2.092746;11.587818
9.695137023925781;-6.391639;-2.84829;13.108718
9.899713516235352;-9.659217;-2.773501;11.498664
10.106921911239624;-9.283457;-2.735561;13.846625
10.313369989395142;-3.987396;-2.074857;19.538284
10.51501202583313;1.918862;-1.499899;13.556311
10.72333550453186;6.211928;-1.201195;8.86709
10.929748296737671;6.778873;-1.630757;11.320484
11.128213167190552;4.437952;-1.546258;20.482759
11.335880756378174;-0.210356;-1.88457;20.203997
11.539597749710083;-2.941949;-2.678862;23.239389
11.747857332229614;-3.22794;-2.616297;27.375534
11.950314044952393;-1.972741;-2.194909;37.935863
12.16376519203186;0.021888;-2.187829;40.161137
12.36018419265747;1.243232;-1.943619;35.236244
12.562820672988892;0.869209;-1.872753;46.551121
12.77713918685913;-0.314027;-2.07503;48.380062
12.974490642547607;-0.502571;-1.998846;54.666054
13.182541847229004;0.270533;-2.021568;56.07103
13.382813215255737;0.445045;-1.97973;61.258362
13.593236923217773;-0.045235;-2.047524;64.565102
13.796855211257935;-0.295087;-1.974751;67.926888
13.99616003036499;0.047928;-2.046872;71.302567
14.208727836608887;0.229269;-1.989995;73.250275
14.410063982009888;-0.112914;-2.040991;75.05941
14.61749792098999;-0.2589;-2.027953;76.363518
14.815968990325928;0.007469;-2.078877;78.191154
15.022435903549194;0.152265;-2.030895;79.467476
15.226871490478516;-0.065365;-2.032151;80.172028
15.431221008300781;-0.170849;-2.029638;81.309669
15.636542320251465;0.039633;-2.053203;81.598961
15.843989610671997;0.127744;-2.036712;82.700508
16.045514345169067;-0.036204;-2.016277;83.354836
16.24991750717163;-0.076475;-2.034171;84.288429
16.45849585533142;0.042514;-2.029447;84.867538
16.660938262939453;0.093805;-2.083717;85.773315
16.866395711898804;-0.013517;-2.087049;85.922874
17.074830770492554;-0.0141;-2.096296;86.630836
17.275320291519165;0.066713;-2.069048;86.597755
17.481749296188354;0.024659;-2.08169;86.791122
17.6862850189209;-0.064396;-2.016901;86.374557
17.892772674560547;-0.015221;-2.04174;86.722084
18.09311580657959;0.042215;-2.023928;86.154152
18.30079936981201;-0.013734;-2.036834;86.623688
18.51007628440857;-0.070265;-2.074046;86.976929
18.707191467285156;-0.033404;-2.067166;87.666779
18.91163730621338;0.026875;-2.026172;87.098701
19.11609172821045;-0.006716;-2.022202;87.824966
19.32171869277954;-0.031144;-2.084764;87.889717
19.528989553451538;0.038412;-2.111214;87.683945
19.73345398902893;0.025299;-2.064198;88.179512
19.93611764907837;-0.005685;-2.065818;87.873894
20.140376567840576;-0.007306;-2.078309;88.208168
20.352155208587646;0.011657;-2.04053;87.726189
20.411983013153076;-0.015195;-2.058562;88.07106
20.556674003601074;-1.049869;-1.975994;47.636402
20.769092559814453;0.949356;-1.772952;52.28603
20.965567111968994;-0.842515;-2.069173;55.521156
21.18498682975769;-4.208302;-2.516306;47.167915
21.380651712417603;-9.442184;-2.419607;28.96316
21.586907386779785;-15.676479;-3.063486;14.430946
21.785475730895996;-17.242006;-3.087312;10.421199
21.996915578842163;-19.530451;-3.281823;8.629699
22.19439148902893;-21.524813;-3.0113;5.425489
22.404826164245605;-18.818632;-3.54837;6.918056
22.606287240982056;-6.081392;-2.342713;6.616241
22.810746908187866;14.742169;0.026152;-0.574886
23.016199827194214;20.668146;-1.540962;3.252419
23.218653678894043;18.033745;-0.796151;1.037788
23.426095485687256;14.350149;-1.279506;3.121626
23.63156032562256;-7.898832;-2.95983;14.257559
23.836000204086304;-14.072318;-3.531073;15.028821
23.899067878723145;8.885401;-0.829544;6.969561
24.03752875328064;7.141768;-2.428569;19.873346
24.246902227401733;-4.035325;-2.421001;19.109657
24.323923587799072;-0.106473;-1.956519;28.268463
24.39949893951416;2.513541;-1.746175;35.241932
24.660009384155273;-1.150044;-2.104569;40.045109
24.855957508087158;-0.083392;-1.981767;56.629349
25.068167448043823;0.291017;-1.954984;63.909966
25.266393661499023;1.095288;-2.056018;51.668758
25.47583293914795;-5.202285;-2.268821;33.318283
25.676298141479492;-7.779476;-2.471926;29.444166
25.888728857040405;-13.119732;-2.800358;18.854177
26.085206031799316;-18.048273;-2.73673;9.110991
26.296639680862427;-19.567028;-2.812138;6.693149
26.503087997436523;-18.149654;-3.314788;6.308446
26.703587532043457;-12.085696;-3.339144;8.619843
26.904016494750977;16.530113;-0.664595;3.053643
27.1174476146698;20.811831;-1.428795;4.375597
27.319905519485474;1.259611;-1.155325;-4.049597
27.527366876602173;-15.037951;-4.054674;7.437892
27.728817462921143;-13.581132;-2.996593;9.991057
27.938526391983032;12.423176;-1.079259;5.374826
28.133734226226807;11.790444;-2.163243;9.26951
28.340394735336304;-2.98131;-1.989878;15.085119
28.543638944625854;-5.557842;-2.412491;25.448353
28.754111289978027;5.474651;-1.319218;12.939481
28.963518857955933;-1.632957;-2.264401;25.470659
29.158992528915405;-0.138738;-2.187232;41.740345
29.370503902435303;0.2411;-2.057944;50.280224
29.567044973373413;0.900317;-1.919041;45.374443
29.7734317779541;-3.332744;-2.033162;39.97121
29.983869552612305;-6.684175;-2.916653;37.186153
30.184350967407227;-15.10357;-2.63005;16.155851
30.386789560317993;-18.031141;-2.821024;10.819291
30.596448183059692;-17.942999;-3.218974;8.16627
30.79769229888916;-14.602484;-2.97007;5.914644
31.005139112472534;3.285479;-2.815543;17.926737
31.204029321670532;18.010511;-1.276792;5.541126
31.41368293762207;10.885342;-0.644756;-2.656933
31.614148139953613;-10.65837;-3.27873;2.498607
31.85750389099121;-7.612993;-2.463241;17.477243
32.03206515312195;9.931564;-0.056953;2.569672
32.239492654800415;4.399919;-1.782803;19.559647
32.434011936187744;-6.683259;-2.626608;20.354607
32.64761257171631;-3.479664;-2.491246;36.114471
32.84586548805237;2.440701;-1.762285;42.510277
33.05829310417175;-1.002293;-2.127587;46.144958
33.255760192871094;0.806854;-1.983041;48.92329
